time,distance,filtered,control,setpoint
0.0,129.0,127.0,100.0,125.0
0.036,132.0,129.0,100.0,125.0
0.072,127.0,129.0,100.0,125.0
0.108,125.0,127.0,100.0,125.0
0.144,126.0,126.0,100.0,125.0
0.18,129.0,126.0,100.0,125.0
0.216,126.0,126.0,100.0,125.0
0.252,127.0,126.0,100.0,125.0
0.288,130.0,126.0,100.0,125.0
0.324,130.0,127.0,100.0,125.0
0.36,133.0,129.0,100.0,125.0
0.396,125.0,129.0,100.0,125.0
0.432,129.0,129.0,100.0,125.0
0.468,132.0,129.0,100.0,125.0
0.504,127.0,129.0,100.0,125.0
0.54,121.0,127.0,100.0,125.0
0.576,126.0,126.0,100.0,125.0
0.612,125.0,125.0,100.0,125.0
0.648,129.0,125.0,100.0,125.0
0.684,130.0,126.0,100.0,125.0
0.72,127.0,127.0,100.0,125.0
0.756,125.0,127.0,100.0,125.0
0.792,130.0,127.0,100.0,125.0
0.828,127.0,127.0,100.0,125.0
0.864,132.0,129.0,100.0,125.0
0.9,126.0,127.0,100.0,125.0
0.936,132.0,129.0,100.0,125.0
0.972,132.0,130.0,100.0,125.0
1.008,130.0,130.0,100.0,125.0
1.044,130.0,130.0,100.0,125.0
1.08,127.0,130.0,100.0,125.0
1.116,124.0,129.0,100.0,125.0
1.152,127.0,127.0,100.0,125.0
1.188,129.0,127.0,94.0,125.0
1.224,129.0,127.0,94.0,125.0
1.26,133.0,127.0,94.0,125.0
1.296,126.0,127.0,94.0,125.0
1.332,126.0,126.0,94.0,125.0
1.368,130.0,126.0,94.0,125.0
1.404,124.0,126.0,94.0,125.0
1.44,129.0,127.0,94.0,125.0
1.476,126.0,126.0,94.0,125.0
1.512,121.0,126.0,94.0,125.0
1.548,121.0,123.0,94.0,125.0
1.584,122.0,122.0,94.0,125.0
1.62,125.0,122.0,94.0,125.0
1.656,119.0,122.0,94.0,125.0
1.692,120.0,121.0,94.0,125.0
1.728,118.0,120.0,107.0,125.0
1.764,118.0,119.0,107.0,125.0
1.8,117.0,118.0,107.0,125.0
1.836,111.0,117.0,107.0,125.0
1.872,109.0,113.0,107.0,125.0
1.908,112.0,112.0,107.0,125.0
1.944,108.0,110.0,107.0,125.0
1.98,103.0,109.0,107.0,125.0
2.016,101.0,106.0,107.0,125.0
2.052,102.0,103.0,107.0,125.0
2.088,100.0,102.0,107.0,125.0
2.124,99.0,101.0,107.0,125.0
2.16,101.0,100.0,107.0,125.0
2.196,98.0,99.0,107.0,125.0
2.232,96.0,98.0,107.0,125.0
2.268,100.0,98.0,107.0,125.0
2.304,100.0,99.0,107.0,125.0
2.34,95.0,99.0,107.0,125.0
2.376,98.0,98.0,94.0,125.0
2.412,101.0,98.0,94.0,125.0
2.448,102.0,99.0,94.0,125.0
2.484,101.0,100.0,94.0,125.0
2.52,99.0,100.0,94.0,125.0
2.556,102.0,100.0,94.0,125.0
2.592,104.0,101.0,94.0,125.0
2.628,103.0,102.0,94.0,125.0
2.664,103.0,102.0,94.0,125.0
2.7,104.0,102.0,94.0,125.0
2.736,101.0,102.0,94.0,125.0
2.772,102.0,102.0,94.0,125.0
2.808,102.0,102.0,94.0,125.0
2.844,101.0,102.0,94.0,125.0
2.88,100.0,102.0,94.0,125.0
2.916,98.0,101.0,94.0,125.0
2.952,99.0,100.0,94.0,125.0
2.988,97.0,99.0,104.0,125.0
3.024,99.0,99.0,104.0,125.0
3.06,96.0,98.0,104.0,125.0
3.096,97.0,97.0,104.0,125.0
3.132,94.0,96.0,104.0,125.0
3.168,91.0,95.0,104.0,125.0
3.204,92.0,93.0,104.0,125.0
3.24,92.0,92.0,104.0,125.0
3.276,92.0,92.0,104.0,125.0
3.312,91.0,92.0,104.0,125.0
3.348,90.0,91.0,104.0,125.0
3.384,90.0,90.0,104.0,125.0
3.42,91.0,90.0,104.0,125.0
3.456,90.0,90.0,104.0,125.0
3.492,90.0,90.0,104.0,125.0
3.528,90.0,90.0,104.0,125.0
3.564,91.0,90.0,104.0,125.0
3.6,90.0,90.0,104.0,125.0
3.636,90.0,90.0,104.0,125.0
3.672,92.0,90.0,104.0,125.0
3.708,90.0,90.0,104.0,125.0
3.744,93.0,90.0,104.0,125.0
3.78,93.0,91.0,94.0,125.0
3.816,93.0,92.0,94.0,125.0
3.852,95.0,92.0,94.0,125.0
3.888,95.0,93.0,94.0,125.0
3.924,96.0,94.0,94.0,125.0
3.96,98.0,95.0,94.0,125.0
3.996,97.0,96.0,94.0,125.0
4.032,99.0,97.0,94.0,125.0
4.068,97.0,97.0,94.0,125.0
4.104,100.0,98.0,94.0,125.0
4.14,98.0,98.0,94.0,125.0
4.176,96.0,98.0,94.0,125.0
4.212,97.0,97.0,94.0,125.0
4.248,96.0,96.0,94.0,125.0
4.284,98.0,96.0,107.0,125.0
4.32,98.0,97.0,107.0,125.0
4.356,94.0,97.0,107.0,125.0
4.392,96.0,96.0,107.0,125.0
4.428,92.0,95.0,107.0,125.0
4.464,92.0,93.0,107.0,125.0
4.5,95.0,92.0,107.0,125.0
