time,distance,filtered,setpoint,error,control,beam_angle
0.0,0,0.0,66.0,0.0,100.0,0.06
0.034,0,0.0,66.0,0.0,100.0,0.06
0.068,0,0.0,66.0,0.0,100.0,0.05
0.102,0,0.0,66.0,0.0,100.0,0.05
0.136,0,0.0,66.0,0.0,100.0,0.05
0.17,0,0.0,66.0,0.0,100.0,0.05
0.204,0,0.0,66.0,0.0,100.0,-0.3
0.238,0,0.0,66.0,0.0,100.0,-0.3
0.272,0,0.0,66.0,0.0,100.0,-0.3
0.306,0,0.0,66.0,0.0,100.0,0.05
0.34,0,0.0,66.0,0.0,100.0,0.05
0.374,0,0.0,66.0,0.0,100.0,0.05
0.408,0,0.0,66.0,0.0,100.0,0.05
0.442,0,0.0,66.0,0.0,100.0,0.05
0.476,0,0.0,66.0,0.0,100.0,-0.28
0.51,0,0.0,66.0,0.0,100.0,0.05
0.544,0,0.0,66.0,0.0,100.0,0.05
0.578,0,0.0,66.0,0.0,100.0,-0.28
0.612,0,0.0,66.0,0.0,100.0,-0.3
0.646,0,0.0,66.0,0.0,100.0,-0.3
0.68,0,0.0,66.0,0.0,100.0,-0.28
0.714,0,0.0,66.0,0.0,100.0,0.06
0.748,0,0.0,66.0,0.0,100.0,-0.3
0.782,0,0.0,66.0,0.0,100.0,-0.3
0.816,0,0.0,66.0,0.0,100.0,-0.3
0.85,0,0.0,66.0,0.0,100.0,0.05
0.884,0,0.0,66.0,0.0,100.0,0.05
0.918,0,0.0,66.0,0.0,100.0,-0.3
0.952,0,0.0,66.0,0.0,100.0,-0.3
0.986,0,0.0,66.0,0.0,100.0,-0.3
1.02,0,0.0,66.0,0.0,130.0,0.05
1.054,0,0.0,66.0,0.0,140.0,0.05
1.088,0,0.0,66.0,0.0,140.0,0.05
1.122,0,0.0,66.0,0.0,140.0,-0.3
1.156,0,0.0,66.0,0.0,140.0,-0.49
1.19,0,0.0,66.0,0.0,140.0,-0.49
1.224,0,0.0,66.0,0.0,140.0,-0.49
1.258,0,0.0,66.0,0.0,140.0,-0.49
1.292,0,0.0,66.0,0.0,140.0,-0.49
1.326,0,0.0,66.0,0.0,140.0,-0.49
1.36,3.0,2.0,66.0,0.0,140.0,-6.17
1.394,5.0,4.0,66.0,0.0,140.0,-6.5
1.428,5.0,5.0,66.0,0.0,140.0,-6.5
1.462,13.0,11.0,66.0,0.0,140.0,-6.51
1.496,13.0,13.0,66.0,0.0,140.0,-6.51
1.53,13.0,13.0,66.0,0.0,140.0,-6.51
1.564,24.0,21.0,66.0,0.0,140.0,-6.5
1.598,37.0,32.0,66.0,0.0,140.0,-6.51
1.632,37.0,35.0,66.0,0.0,140.0,-6.51
1.666,52.0,47.0,66.0,0.0,140.0,-6.18
1.7,52.0,51.0,66.0,0.0,140.0,-6.18
1.734,52.0,52.0,66.0,0.0,140.0,-6.18
1.768,79.0,71.0,66.0,0.0,140.0,-6.51
1.802,101.0,92.0,66.0,0.0,140.0,-6.5
1.837,101.0,98.0,66.0,0.0,140.0,-6.5
1.872,124.0,116.0,66.0,0.0,140.0,-6.51
1.907,137.0,131.0,66.0,0.0,140.0,-6.5
1.942,137.0,135.0,66.0,0.0,140.0,-6.5
1.977,137.0,137.0,66.0,0.0,140.0,-6.5
2.012,164.0,156.0,66.0,0.0,140.0,-6.51
2.047,164.0,162.0,66.0,0.0,140.0,-6.51
2.082,164.0,164.0,66.0,0.0,140.0,-6.51
2.117,209.0,195.0,66.0,0.0,140.0,-6.18
2.152,242.0,228.0,66.0,0.0,140.0,-6.17
2.187,242.0,237.0,66.0,0.0,140.0,-6.17
2.222,230.0,232.0,66.0,0.0,140.0,-6.51
2.257,230.0,230.0,66.0,0.0,140.0,-6.51
2.292,230.0,230.0,66.0,0.0,140.0,-6.51
2.327,220.0,223.0,66.0,0.0,140.0,-6.51
2.362,221.0,222.0,66.0,0.0,140.0,-6.51
2.397,221.0,221.0,66.0,0.0,140.0,-6.51
2.432,225.0,224.0,66.0,0.0,140.0,-6.17
2.467,231.0,229.0,66.0,0.0,140.0,-6.17
2.502,231.0,230.0,66.0,0.0,140.0,-6.17
2.537,239.0,236.0,66.0,0.0,140.0,-6.17
2.572,245.0,242.0,66.0,0.0,140.0,-6.17
2.607,245.0,244.0,66.0,0.0,140.0,-6.17
2.642,245.0,244.0,66.0,0.0,140.0,-6.17
2.677,246.0,246.0,66.0,0.0,140.0,-6.17
2.712,246.0,246.0,66.0,0.0,140.0,-6.17
2.747,246.0,246.0,66.0,0.0,140.0,-6.17
2.782,248.0,247.0,66.0,0.0,140.0,-6.17
2.817,248.0,248.0,66.0,0.0,140.0,-6.17
2.852,248.0,248.0,66.0,0.0,140.0,-6.17
2.887,248.0,248.0,66.0,0.0,140.0,-6.17
2.922,248.0,248.0,66.0,0.0,140.0,-6.17
2.957,248.0,248.0,66.0,0.0,140.0,-6.17
2.992,248.0,248.0,66.0,0.0,140.0,-6.51
3.027,248.0,248.0,66.0,0.0,140.0,-6.51
