time,distance,filtered,control,setpoint
0.0386,131.0,128.0,100.0,125.0
0.0695,125.0,129.0,100.0,125.0
0.1001,126.0,128.0,100.0,125.0
0.1486,126.0,126.0,100.0,125.0
0.1724,128.0,126.0,100.0,125.0
0.2112,131.0,126.0,100.0,125.0
0.2549,131.0,128.0,100.0,125.0
0.2762,125.0,129.0,100.0,125.0
0.3212,128.0,128.0,100.0,125.0
0.3652,126.0,126.0,100.0,125.0
0.3866,125.0,126.0,100.0,125.0
0.4299,128.0,126.0,100.0,125.0
0.4733,128.0,126.0,100.0,125.0
0.4928,128.0,126.0,100.0,125.0
0.5376,126.0,126.0,100.0,125.0
0.5813,123.0,126.0,100.0,125.0
0.6017,126.0,126.0,100.0,125.0
0.6451,126.0,126.0,100.0,125.0
0.6908,129.0,126.0,100.0,125.0
0.7099,131.0,128.0,100.0,125.0
0.7535,126.0,128.0,100.0,125.0
0.7983,129.0,128.0,100.0,125.0
0.8176,131.0,128.0,100.0,125.0
0.862,128.0,128.0,100.0,125.0
0.9071,126.0,128.0,100.0,125.0
0.9276,126.0,126.0,100.0,125.0
0.9713,129.0,126.0,100.0,125.0
1.0138,129.0,128.0,100.0,125.0
1.034,126.0,128.0,100.0,125.0
1.0802,125.0,126.0,100.0,125.0
1.1231,128.0,126.0,100.0,125.0
1.1419,126.0,126.0,100.0,125.0
1.1898,128.0,126.0,100.0,125.0
1.232,125.0,126.0,110.0,125.0
1.2502,125.0,125.0,110.0,125.0
1.2843,123.0,125.0,110.0,125.0
1.3437,129.0,125.0,110.0,125.0
1.3693,126.0,125.0,110.0,125.0
1.3917,126.0,125.0,110.0,125.0
1.4538,126.0,125.0,110.0,125.0
1.4774,133.0,125.0,110.0,125.0
1.5002,128.0,126.0,110.0,125.0
1.562,138.0,129.0,110.0,125.0
1.5867,133.0,131.0,110.0,125.0
1.6093,138.0,134.0,110.0,125.0
1.6726,136.0,134.0,110.0,125.0
1.6985,143.0,136.0,110.0,125.0
1.7174,141.0,138.0,110.0,125.0
1.753,143.0,139.0,110.0,125.0
1.8034,149.0,141.0,110.0,125.0
1.8261,152.0,144.0,88.0,125.0
1.8609,149.0,146.0,88.0,125.0
1.9109,154.0,149.0,88.0,125.0
1.9354,167.0,151.0,88.0,125.0
1.9687,169.0,159.0,88.0,125.0
2.0206,171.0,164.0,88.0,125.0
2.045,174.0,167.0,88.0,125.0
2.0766,175.0,171.0,88.0,125.0
2.1151,179.0,172.0,88.0,125.0
2.1518,175.0,174.0,88.0,125.0
2.1843,177.0,175.0,88.0,125.0
2.2357,175.0,175.0,88.0,125.0
2.261,174.0,175.0,88.0,125.0
2.2928,179.0,175.0,88.0,125.0
2.344,182.0,177.0,88.0,125.0
2.3708,179.0,177.0,88.0,125.0
2.4017,172.0,177.0,88.0,125.0
2.4532,175.0,175.0,88.0,125.0
2.4795,185.0,175.0,88.0,125.0
2.5111,179.0,177.0,88.0,125.0
2.5506,169.0,177.0,88.0,125.0
2.5875,177.0,177.0,88.0,125.0
2.6189,172.0,174.0,108.0,125.0
2.6664,174.0,174.0,108.0,125.0
2.6969,171.0,172.0,108.0,125.0
2.7274,171.0,171.0,108.0,125.0
2.7742,159.0,171.0,108.0,125.0
