time,distance,filtered,control,setpoint
0.0392,110.0,111.0,100.0,125.0
0.0809,113.0,112.0,100.0,125.0
0.1158,112.0,112.0,100.0,125.0
0.1468,112.0,112.0,100.0,125.0
0.1775,113.0,112.0,100.0,125.0
0.2245,110.0,112.0,100.0,125.0
0.2553,109.0,111.0,100.0,125.0
0.2894,110.0,110.0,100.0,125.0
0.3335,113.0,110.0,100.0,125.0
0.3646,111.0,110.0,100.0,125.0
0.4061,110.0,110.0,100.0,125.0
0.4297,110.0,110.0,100.0,125.0
0.472,113.0,110.0,100.0,125.0
0.5169,114.0,111.0,100.0,125.0
0.5377,114.0,112.0,100.0,125.0
0.5817,112.0,113.0,100.0,125.0
0.6149,113.0,113.0,100.0,125.0
0.6457,113.0,113.0,100.0,125.0
0.6903,114.0,113.0,100.0,125.0
0.7316,112.0,113.0,100.0,125.0
0.7547,108.0,112.0,100.0,125.0
0.7988,112.0,112.0,100.0,125.0
0.8413,115.0,112.0,100.0,125.0
0.8766,109.0,112.0,100.0,125.0
0.9075,111.0,111.0,100.0,125.0
0.9494,109.0,110.0,100.0,125.0
0.9844,114.0,110.0,100.0,125.0
1.0156,109.0,109.0,100.0,125.0
1.0562,114.0,111.0,100.0,125.0
1.094,112.0,111.0,100.0,125.0
1.1252,113.0,112.0,100.0,125.0
1.167,111.0,112.0,100.0,125.0
1.1896,113.0,112.0,100.0,125.0
1.2338,111.0,111.0,89.0,125.0
1.2776,110.0,111.0,89.0,125.0
1.2986,113.0,111.0,89.0,125.0
1.3414,112.0,111.0,89.0,125.0
1.385,112.0,111.0,89.0,125.0
1.4062,110.0,111.0,89.0,125.0
1.4496,113.0,111.0,89.0,125.0
1.4918,115.0,112.0,89.0,125.0
1.515,111.0,112.0,89.0,125.0
1.5578,108.0,111.0,89.0,125.0
1.6008,106.0,109.0,89.0,125.0
1.622,104.0,107.0,89.0,125.0
1.6664,106.0,106.0,89.0,125.0
1.709,104.0,105.0,89.0,125.0
1.7308,102.0,104.0,89.0,125.0
1.7755,101.0,103.0,89.0,125.0
1.8192,99.0,102.0,89.0,125.0
1.8393,93.0,100.0,89.0,125.0
1.8844,90.0,96.0,89.0,125.0
1.9265,86.0,93.0,89.0,125.0
1.9468,85.0,89.0,89.0,125.0
1.9916,78.0,87.0,108.0,125.0
2.0365,76.0,82.0,108.0,125.0
2.056,70.0,79.0,108.0,125.0
2.0908,64.0,74.0,108.0,125.0
2.1456,58.0,70.0,108.0,125.0
2.1649,54.0,64.0,108.0,125.0
2.1989,53.0,59.0,108.0,125.0
2.2538,48.0,56.0,108.0,125.0
2.2746,44.0,51.0,108.0,125.0
2.3061,42.0,48.0,108.0,125.0
2.363,41.0,45.0,108.0,125.0
2.3817,34.0,42.0,108.0,125.0
2.4149,34.0,38.0,108.0,125.0
2.4713,32.0,36.0,108.0,125.0
2.4905,29.0,33.0,108.0,125.0
2.5233,27.0,31.0,108.0,125.0
2.5787,27.0,29.0,108.0,125.0
2.5988,25.0,28.0,108.0,125.0
2.6307,24.0,26.0,108.0,125.0
2.6879,24.0,25.0,108.0,125.0
2.7072,21.0,24.0,91.0,125.0
2.7385,22.0,23.0,91.0,125.0
2.7941,19.0,22.0,91.0,125.0
2.8149,23.0,22.0,91.0,125.0
2.8466,24.0,22.0,91.0,125.0
2.9036,25.0,23.0,91.0,125.0
2.9221,24.0,23.0,91.0,125.0
2.9547,25.0,24.0,91.0,125.0
3.0009,20.0,24.0,91.0,125.0
3.0318,23.0,23.0,91.0,125.0
3.0623,22.0,22.0,91.0,125.0
3.1089,22.0,22.0,91.0,125.0
3.1519,19.0,22.0,91.0,125.0
3.1706,19.0,20.0,91.0,125.0
3.2183,20.0,19.0,91.0,125.0
3.2613,19.0,19.0,91.0,125.0
3.2802,15.0,19.0,91.0,125.0
3.315,13.0,16.0,91.0,125.0
3.3692,12.0,15.0,91.0,125.0
3.39,14.0,14.0,91.0,125.0
3.4223,13.0,13.0,91.0,125.0
3.4797,12.0,13.0,91.0,125.0
3.4988,11.0,12.0,106.0,125.0
3.5307,12.0,12.0,106.0,125.0
3.5895,8.0,11.0,106.0,125.0
3.6082,5.0,9.0,106.0,125.0
3.6396,4.0,7.0,106.0,125.0
3.6866,4.0,5.0,106.0,125.0
3.7176,3.0,4.0,106.0,125.0
3.7499,5.0,4.0,106.0,125.0
3.7915,6.0,4.0,106.0,125.0
3.8276,3.0,4.0,106.0,125.0
3.8579,7.0,5.0,106.0,125.0
3.9008,8.0,6.0,106.0,125.0
3.9368,9.0,7.0,106.0,125.0
