time,distance,filtered,setpoint,error,control
0.0,176.0,175.0,123.0,0.0,100.0
0.037,176.0,175.0,123.0,0.0,100.0
0.074,171.0,175.0,123.0,0.0,100.0
0.111,171.0,173.0,123.0,0.0,100.0
0.148,170.0,171.0,123.0,0.0,100.0
0.185,168.0,170.0,123.0,0.0,100.0
0.222,178.0,170.0,123.0,0.0,100.0
0.259,175.0,171.0,123.0,0.0,100.0
0.296,167.0,173.0,123.0,0.0,100.0
0.333,173.0,173.0,123.0,0.0,100.0
0.37,179.0,173.0,123.0,0.0,100.0
0.407,181.0,176.0,123.0,0.0,100.0
0.444,178.0,178.0,123.0,0.0,100.0
0.481,175.0,178.0,123.0,0.0,100.0
0.555,171.0,173.0,123.0,0.0,100.0
0.592,168.0,171.0,123.0,0.0,100.0
0.629,176.0,171.0,123.0,0.0,100.0
0.666,165.0,170.0,123.0,0.0,100.0
0.703,171.0,170.0,123.0,0.0,100.0
0.74,165.0,167.0,123.0,0.0,100.0
0.777,173.0,168.0,123.0,0.0,100.0
0.814,171.0,170.0,123.0,0.0,100.0
0.851,175.0,171.0,123.0,0.0,100.0
0.888,173.0,171.0,123.0,0.0,100.0
0.925,175.0,173.0,123.0,0.0,100.0
0.962,175.0,173.0,123.0,0.0,100.0
0.999,175.0,173.0,123.0,0.0,100.0
1.036,170.0,173.0,123.0,0.0,100.0
1.073,171.0,171.0,123.0,0.0,100.0
1.11,171.0,171.0,123.0,0.0,100.0
1.147,176.0,171.0,123.0,0.0,100.0
1.184,173.0,171.0,123.0,0.0,100.0
1.221,170.0,171.0,123.0,0.0,100.0
1.258,168.0,170.0,123.0,0.0,100.0
1.295,176.0,170.0,123.0,0.0,100.0
1.332,171.0,170.0,123.0,0.0,100.0
1.369,171.0,170.0,123.0,0.0,100.0
1.406,176.0,170.0,123.0,0.0,100.0
1.443,170.0,170.0,123.0,0.0,100.0
1.48,173.0,171.0,123.0,0.0,100.0
1.517,176.0,171.0,123.0,0.0,100.0
1.554,168.0,171.0,123.0,0.0,100.0
1.591,176.0,173.0,123.0,0.0,100.0
1.628,178.0,175.0,123.0,0.0,100.0
1.665,173.0,175.0,123.0,0.0,100.0
1.702,168.0,173.0,123.0,0.0,100.0
1.739,175.0,173.0,123.0,0.0,100.0
1.776,175.0,173.0,123.0,0.0,100.0
1.813,175.0,173.0,123.0,0.0,100.0
1.85,171.0,173.0,123.0,0.0,100.0
1.887,173.0,173.0,123.0,0.0,100.0
1.924,178.0,173.0,123.0,0.0,100.0
1.961,176.0,175.0,123.0,0.0,100.0
1.998,176.0,175.0,123.0,0.0,100.0
2.035,170.0,175.0,123.0,0.0,100.0
2.072,171.0,173.0,123.0,0.0,100.0
2.109,165.0,171.0,123.0,0.0,100.0
2.146,173.0,171.0,123.0,0.0,100.0
2.183,173.0,171.0,123.0,0.0,100.0
2.22,171.0,171.0,123.0,0.0,100.0
2.257,176.0,171.0,123.0,0.0,100.0
2.294,171.0,171.0,123.0,0.0,100.0
2.331,175.0,173.0,123.0,0.0,100.0
2.368,176.0,173.0,123.0,0.0,100.0
2.405,176.0,175.0,123.0,0.0,100.0
2.442,171.0,175.0,123.0,0.0,100.0
2.479,170.0,173.0,123.0,0.0,100.0
2.516,171.0,171.0,123.0,0.0,100.0
2.553,171.0,171.0,123.0,0.0,100.0
2.59,178.0,171.0,123.0,0.0,100.0
2.627,175.0,173.0,123.0,0.0,100.0
2.664,171.0,173.0,123.0,0.0,100.0
2.701,181.0,173.0,123.0,0.0,100.0
2.738,176.0,175.0,123.0,0.0,100.0
2.775,171.0,175.0,123.0,0.0,100.0
2.812,175.0,175.0,123.0,0.0,100.0
2.849,171.0,173.0,123.0,0.0,100.0
2.886,175.0,173.0,123.0,0.0,100.0
2.923,170.0,171.0,123.0,0.0,100.0
2.96,168.0,170.0,123.0,0.0,100.0
2.997,171.0,170.0,123.0,0.0,100.0
3.034,176.0,170.0,123.0,0.0,100.0
3.071,171.0,170.0,123.0,0.0,100.0
3.108,173.0,171.0,123.0,0.0,100.0
3.145,171.0,171.0,123.0,0.0,100.0
3.182,167.0,171.0,123.0,0.0,100.0
3.219,168.0,170.0,123.0,0.0,100.0
3.256,176.0,168.0,123.0,0.0,100.0
3.293,175.0,171.0,123.0,0.0,100.0
3.33,175.0,173.0,123.0,0.0,100.0
