time,distance,filtered,control,setpoint
0.0,125.0,125.0,100.0,115.0
0.036,126.0,125.0,100.0,115.0
0.072,129.0,125.0,100.0,115.0
0.108,124.0,125.0,100.0,115.0
0.144,123.0,124.0,100.0,115.0
0.18,126.0,124.0,100.0,115.0
0.216,125.0,124.0,100.0,115.0
0.252,124.0,124.0,100.0,115.0
0.288,132.0,124.0,100.0,115.0
0.324,130.0,126.0,100.0,115.0
0.36,124.0,127.0,100.0,115.0
0.396,123.0,125.0,100.0,115.0
0.432,125.0,124.0,100.0,115.0
0.468,126.0,124.0,100.0,115.0
0.504,125.0,124.0,100.0,115.0
0.54,127.0,125.0,100.0,115.0
0.576,127.0,126.0,100.0,115.0
0.612,127.0,126.0,100.0,115.0
0.648,125.0,126.0,100.0,115.0
0.684,125.0,125.0,100.0,115.0
0.72,124.0,125.0,100.0,115.0
0.756,130.0,125.0,100.0,115.0
0.792,132.0,127.0,100.0,115.0
0.828,130.0,129.0,100.0,115.0
0.864,129.0,129.0,100.0,115.0
0.9,127.0,129.0,100.0,115.0
0.936,132.0,129.0,100.0,115.0
0.972,126.0,127.0,100.0,115.0
1.008,126.0,126.0,100.0,115.0
1.044,132.0,126.0,100.0,115.0
1.08,127.0,126.0,100.0,115.0
1.116,125.0,126.0,100.0,115.0
1.152,126.0,126.0,100.0,115.0
1.188,126.0,126.0,92.0,115.0
1.224,125.0,126.0,92.0,115.0
1.26,132.0,126.0,92.0,115.0
1.296,129.0,127.0,92.0,115.0
1.332,127.0,127.0,92.0,115.0
1.368,122.0,127.0,92.0,115.0
1.404,123.0,125.0,92.0,115.0
1.44,124.0,124.0,92.0,115.0
1.476,120.0,123.0,92.0,115.0
1.512,124.0,123.0,92.0,115.0
1.548,123.0,123.0,92.0,115.0
1.584,119.0,123.0,92.0,115.0
1.62,125.0,123.0,92.0,115.0
1.656,121.0,122.0,92.0,115.0
1.692,122.0,122.0,107.0,115.0
1.728,122.0,122.0,107.0,115.0
1.764,122.0,122.0,107.0,115.0
1.8,122.0,122.0,107.0,115.0
1.836,121.0,122.0,107.0,115.0
1.872,119.0,121.0,107.0,115.0
1.908,120.0,120.0,107.0,115.0
1.944,123.0,120.0,107.0,115.0
1.98,123.0,121.0,107.0,115.0
2.016,122.0,122.0,107.0,115.0
2.052,123.0,122.0,107.0,115.0
2.088,126.0,122.0,107.0,115.0
2.124,126.0,124.0,107.0,115.0
2.16,127.0,125.0,107.0,115.0
2.196,135.0,126.0,107.0,115.0
2.232,135.0,130.0,107.0,115.0
2.268,142.0,132.0,92.0,115.0
2.304,144.0,136.0,92.0,115.0
2.34,142.0,139.0,92.0,115.0
2.376,154.0,141.0,92.0,115.0
2.412,163.0,147.0,92.0,115.0
2.448,154.0,150.0,92.0,115.0
2.484,165.0,156.0,92.0,115.0
2.52,168.0,160.0,92.0,115.0
2.556,166.0,163.0,92.0,115.0
2.592,168.0,165.0,92.0,115.0
2.628,178.0,166.0,92.0,115.0
2.664,166.0,166.0,92.0,115.0
2.7,168.0,166.0,92.0,115.0
2.736,168.0,166.0,92.0,115.0
2.772,175.0,166.0,92.0,115.0
2.808,180.0,171.0,92.0,115.0
2.844,180.0,175.0,92.0,115.0
2.88,183.0,177.0,92.0,115.0
2.916,174.0,178.0,92.0,115.0
2.952,181.0,180.0,92.0,115.0
2.988,178.0,178.0,105.0,115.0
3.024,178.0,178.0,105.0,115.0
3.06,184.0,178.0,105.0,115.0
3.096,181.0,180.0,105.0,115.0
3.132,180.0,180.0,105.0,115.0
3.168,181.0,180.0,105.0,115.0
3.204,181.0,180.0,105.0,115.0
3.24,177.0,180.0,105.0,115.0
3.276,180.0,180.0,105.0,115.0
3.312,181.0,180.0,105.0,115.0
3.348,180.0,180.0,105.0,115.0
3.384,187.0,180.0,105.0,115.0
3.42,181.0,180.0,105.0,115.0
3.456,181.0,180.0,105.0,115.0
3.492,175.0,180.0,105.0,115.0
3.528,174.0,177.0,105.0,115.0
3.564,187.0,175.0,105.0,115.0
3.6,181.0,178.0,105.0,115.0
3.636,186.0,181.0,105.0,115.0
3.672,186.0,183.0,105.0,115.0
3.708,181.0,184.0,91.0,115.0
3.744,183.0,183.0,91.0,115.0
3.78,181.0,181.0,91.0,115.0
