time,distance,filtered,setpoint,error,control,beam_angle
0.0,125.0,124.0,33.0,0.0,100.0,0.0
0.034,125.0,124.0,33.0,0.0,100.0,0.0
0.068,125.0,124.0,33.0,0.0,100.0,0.0
0.102,125.0,125.0,33.0,0.0,100.0,0.0
0.136,125.0,125.0,33.0,0.0,100.0,0.0
0.17,125.0,125.0,33.0,0.0,100.0,0.0
0.204,125.0,125.0,33.0,0.0,100.0,0.0
0.238,125.0,125.0,33.0,0.0,100.0,0.0
0.272,125.0,125.0,33.0,0.0,100.0,0.0
0.306,125.0,125.0,33.0,0.0,100.0,0.0
0.34,125.0,125.0,33.0,0.0,100.0,0.0
0.374,125.0,125.0,33.0,0.0,100.0,0.0
0.408,125.0,125.0,33.0,0.0,100.0,0.0
0.442,125.0,125.0,33.0,0.0,100.0,0.0
0.476,125.0,125.0,33.0,0.0,100.0,0.0
0.51,125.0,125.0,33.0,0.0,100.0,0.0
0.544,125.0,125.0,33.0,0.0,100.0,0.0
0.578,125.0,125.0,33.0,0.0,100.0,0.0
0.612,125.0,125.0,33.0,0.0,100.0,0.0
0.646,125.0,125.0,33.0,0.0,100.0,0.0
0.68,125.0,125.0,33.0,0.0,100.0,0.0
0.714,125.0,125.0,33.0,0.0,100.0,0.0
0.748,125.0,125.0,33.0,0.0,100.0,0.0
0.782,125.0,125.0,33.0,0.0,100.0,0.0
0.816,125.0,125.0,33.0,0.0,100.0,0.0
0.85,125.0,125.0,33.0,0.0,100.0,0.0
0.884,125.0,125.0,33.0,0.0,100.0,0.0
0.918,125.0,125.0,33.0,0.0,100.0,0.0
0.952,125.0,125.0,33.0,0.0,100.0,0.0
0.986,125.0,125.0,33.0,0.0,100.0,0.0
1.02,125.0,125.0,33.0,0.0,100.0,0.0
1.054,125.0,125.0,33.0,0.0,100.0,0.0
1.088,125.0,125.0,33.0,0.0,100.0,0.0
1.122,125.0,125.0,33.0,0.0,100.0,0.0
1.156,125.0,125.0,33.0,0.0,100.0,0.0
1.19,125.0,125.0,33.0,0.0,92.0,0.0
1.224,125.0,125.0,33.0,0.0,92.0,0.0
1.258,125.0,125.0,33.0,0.0,92.0,0.0
1.292,125.0,125.0,33.0,0.0,92.0,0.0
1.326,125.0,125.0,33.0,0.0,92.0,0.0
1.36,125.0,125.0,33.0,0.0,92.0,0.0
1.394,125.0,125.0,33.0,0.0,92.0,0.21
1.428,125.0,125.0,33.0,0.0,92.0,0.21
1.462,125.0,125.0,33.0,0.0,92.0,0.21
1.496,124.0,124.0,33.0,0.0,92.0,1.26
1.53,124.0,124.0,33.0,0.0,92.0,1.26
1.564,124.0,124.0,33.0,0.0,92.0,1.26
1.598,124.0,124.0,33.0,0.0,92.0,1.26
1.632,122.0,122.0,33.0,0.0,92.0,1.26
1.666,122.0,122.0,33.0,0.0,107.0,1.26
1.7,122.0,122.0,33.0,0.0,107.0,1.26
1.734,119.0,120.0,33.0,0.0,107.0,1.26
1.768,119.0,119.0,33.0,0.0,107.0,1.26
1.802,119.0,119.0,33.0,0.0,107.0,1.26
1.836,119.0,119.0,33.0,0.0,107.0,1.26
1.87,116.0,117.0,33.0,0.0,107.0,1.16
1.904,116.0,117.0,33.0,0.0,107.0,1.16
1.938,116.0,116.0,33.0,0.0,107.0,1.16
1.972,114.0,114.0,33.0,0.0,107.0,-1.04
2.006,114.0,114.0,33.0,0.0,107.0,-1.04
2.04,114.0,114.0,33.0,0.0,107.0,-1.04
2.074,114.0,114.0,33.0,0.0,107.0,-1.04
2.108,115.0,114.0,33.0,0.0,107.0,-1.16
2.142,115.0,115.0,33.0,0.0,107.0,-1.16
2.176,115.0,115.0,33.0,0.0,107.0,-1.16
2.21,119.0,118.0,33.0,0.0,92.0,-1.04
2.244,119.0,118.0,33.0,0.0,92.0,-1.04
2.278,119.0,119.0,33.0,0.0,92.0,-1.04
2.312,119.0,119.0,33.0,0.0,92.0,-1.04
2.346,124.0,122.0,33.0,0.0,92.0,-1.16
2.38,124.0,123.0,33.0,0.0,92.0,-1.16
2.414,124.0,124.0,33.0,0.0,92.0,-1.16
2.448,132.0,130.0,33.0,0.0,92.0,-0.21
2.482,132.0,131.0,33.0,0.0,92.0,-0.21
2.516,132.0,132.0,33.0,0.0,92.0,-0.21
2.55,139.0,137.0,33.0,0.0,92.0,1.26
2.584,139.0,138.0,33.0,0.0,92.0,1.26
2.618,139.0,139.0,33.0,0.0,92.0,1.26
2.652,139.0,139.0,33.0,0.0,92.0,1.26
2.686,146.0,144.0,33.0,0.0,92.0,1.26
2.72,146.0,145.0,33.0,0.0,92.0,1.26
2.754,146.0,145.0,33.0,0.0,92.0,1.26
2.788,150.0,148.0,33.0,0.0,92.0,1.26
2.822,150.0,149.0,33.0,0.0,92.0,1.26
2.856,150.0,150.0,33.0,0.0,92.0,1.26
2.89,150.0,150.0,33.0,0.0,105.0,1.26
2.924,153.0,152.0,33.0,0.0,105.0,1.26
2.958,153.0,153.0,33.0,0.0,105.0,1.26
2.992,153.0,153.0,33.0,0.0,105.0,1.26
3.026,155.0,155.0,33.0,0.0,105.0,1.26
3.06,155.0,155.0,33.0,0.0,105.0,1.26
3.094,155.0,155.0,33.0,0.0,105.0,1.26
3.128,155.0,155.0,33.0,0.0,105.0,1.26
3.162,156.0,156.0,33.0,0.0,105.0,0.63
3.196,156.0,156.0,33.0,0.0,105.0,0.63
3.23,156.0,156.0,33.0,0.0,105.0,0.63
3.264,159.0,158.0,33.0,0.0,105.0,-0.95
3.298,159.0,158.0,33.0,0.0,105.0,-0.95
3.332,159.0,158.0,33.0,0.0,105.0,-0.95
3.366,162.0,161.0,33.0,0.0,105.0,-0.84
3.4,162.0,161.0,33.0,0.0,105.0,-0.84
3.434,162.0,162.0,33.0,0.0,105.0,-0.84
3.468,162.0,162.0,33.0,0.0,105.0,-0.84
3.502,168.0,166.0,33.0,0.0,105.0,-0.95
3.536,168.0,167.0,33.0,0.0,105.0,-0.95
3.57,168.0,167.0,33.0,0.0,91.0,-0.95
3.604,173.0,171.0,33.0,0.0,91.0,-0.95
3.638,173.0,172.0,33.0,0.0,91.0,-0.95
3.672,173.0,173.0,33.0,0.0,91.0,-0.95
3.706,173.0,173.0,33.0,0.0,91.0,-0.95
3.74,181.0,179.0,33.0,0.0,91.0,-0.95
3.774,181.0,181.0,33.0,0.0,91.0,-0.95
3.808,181.0,181.0,33.0,0.0,91.0,-0.95
3.842,188.0,186.0,33.0,0.0,91.0,1.04
3.876,188.0,188.0,33.0,0.0,91.0,1.04
3.91,188.0,188.0,33.0,0.0,91.0,1.04
3.944,195.0,193.0,33.0,0.0,91.0,1.68
3.978,195.0,194.0,33.0,0.0,91.0,1.68
4.012,195.0,195.0,33.0,0.0,91.0,1.68
4.046,195.0,195.0,33.0,0.0,91.0,1.68
4.08,196.0,196.0,33.0,0.0,91.0,1.68
4.114,196.0,196.0,33.0,0.0,91.0,1.68
4.148,196.0,196.0,33.0,0.0,91.0,1.68
4.182,195.0,195.0,33.0,0.0,91.0,1.68
4.216,195.0,195.0,33.0,0.0,91.0,1.68
4.25,195.0,195.0,33.0,0.0,104.0,1.68
4.284,195.0,195.0,33.0,0.0,104.0,1.68
4.318,192.0,192.0,33.0,0.0,104.0,1.68
4.352,192.0,192.0,33.0,0.0,104.0,1.68
4.386,192.0,192.0,33.0,0.0,104.0,1.68
4.42,184.0,186.0,33.0,0.0,104.0,1.58
4.454,184.0,185.0,33.0,0.0,104.0,1.58
4.488,184.0,184.0,33.0,0.0,104.0,1.58
4.522,184.0,184.0,33.0,0.0,104.0,1.58
4.556,177.0,179.0,33.0,0.0,104.0,0.52
4.59,177.0,178.0,33.0,0.0,104.0,0.52
4.624,177.0,177.0,33.0,0.0,104.0,0.52
4.658,168.0,171.0,33.0,0.0,104.0,-0.74
4.692,168.0,169.0,33.0,0.0,104.0,-0.74
4.726,168.0,168.0,33.0,0.0,104.0,-0.74
4.76,163.0,164.0,33.0,0.0,104.0,-0.74
4.794,163.0,163.0,33.0,0.0,104.0,-0.74
4.828,163.0,163.0,33.0,0.0,104.0,-0.74
4.862,163.0,163.0,33.0,0.0,104.0,-0.74
4.896,159.0,160.0,33.0,0.0,104.0,-0.74
4.93,159.0,159.0,33.0,0.0,104.0,-0.74
4.964,159.0,159.0,33.0,0.0,93.0,-0.74
4.998,157.0,158.0,33.0,0.0,93.0,-0.74
5.032,157.0,157.0,33.0,0.0,93.0,-0.74
5.066,157.0,157.0,33.0,0.0,93.0,-0.74
5.1,157.0,157.0,33.0,0.0,93.0,-0.63
5.134,157.0,157.0,33.0,0.0,93.0,-0.63
5.168,157.0,157.0,33.0,0.0,93.0,-0.63
5.202,157.0,157.0,33.0,0.0,93.0,-0.63
5.236,159.0,158.0,33.0,0.0,93.0,1.04
5.27,159.0,159.0,33.0,0.0,93.0,1.04
5.304,159.0,159.0,33.0,0.0,93.0,1.04
5.338,159.0,159.0,33.0,0.0,93.0,1.16
5.372,159.0,159.0,33.0,0.0,93.0,1.16
5.406,159.0,159.0,33.0,0.0,93.0,1.16
5.44,159.0,159.0,33.0,0.0,93.0,1.16
5.474,159.0,159.0,33.0,0.0,93.0,1.16
5.508,159.0,159.0,33.0,0.0,107.0,1.16
5.542,159.0,159.0,33.0,0.0,107.0,1.16
