time,distance,filtered,control,setpoint
0.0,122.0,121.0,100.0,115.0
0.037,124.0,122.0,100.0,115.0
0.073,120.0,122.0,100.0,115.0
0.109,122.0,122.0,100.0,115.0
0.145,122.0,122.0,100.0,115.0
0.181,120.0,122.0,100.0,115.0
0.217,118.0,121.0,100.0,115.0
0.253,120.0,120.0,100.0,115.0
0.289,124.0,120.0,100.0,115.0
0.325,121.0,120.0,100.0,115.0
0.361,118.0,120.0,100.0,115.0
0.397,122.0,120.0,100.0,115.0
0.434,119.0,119.0,100.0,115.0
0.47,124.0,120.0,100.0,115.0
0.507,122.0,121.0,100.0,115.0
0.544,120.0,121.0,100.0,115.0
0.581,124.0,121.0,100.0,115.0
0.618,123.0,122.0,100.0,115.0
0.654,117.0,122.0,100.0,115.0
0.69,121.0,121.0,100.0,115.0
0.726,126.0,121.0,100.0,115.0
0.762,119.0,121.0,100.0,115.0
0.798,121.0,121.0,100.0,115.0
0.834,120.0,120.0,100.0,115.0
0.87,124.0,120.0,100.0,115.0
0.906,122.0,121.0,100.0,115.0
0.942,120.0,121.0,100.0,115.0
0.979,123.0,121.0,100.0,115.0
1.016,119.0,120.0,100.0,115.0
1.053,122.0,121.0,100.0,115.0
1.089,121.0,121.0,100.0,115.0
1.125,122.0,121.0,100.0,115.0
1.161,122.0,121.0,100.0,115.0
1.197,121.0,121.0,100.0,115.0
1.233,120.0,121.0,92.0,115.0
1.269,123.0,121.0,92.0,115.0
1.305,122.0,121.0,92.0,115.0
1.341,121.0,121.0,92.0,115.0
1.377,122.0,121.0,92.0,115.0
1.413,121.0,121.0,92.0,115.0
1.449,119.0,121.0,92.0,115.0
1.485,122.0,121.0,92.0,115.0
1.521,118.0,120.0,92.0,115.0
1.557,122.0,121.0,92.0,115.0
1.593,119.0,120.0,92.0,115.0
1.629,119.0,119.0,92.0,115.0
1.665,118.0,119.0,92.0,115.0
1.701,113.0,118.0,92.0,115.0
1.737,115.0,116.0,107.0,115.0
1.773,113.0,114.0,107.0,115.0
1.81,113.0,113.0,107.0,115.0
1.847,114.0,113.0,107.0,115.0
1.884,110.0,113.0,107.0,115.0
1.92,109.0,112.0,107.0,115.0
1.956,108.0,110.0,107.0,115.0
1.992,106.0,109.0,107.0,115.0
2.028,107.0,108.0,107.0,115.0
2.064,105.0,107.0,107.0,115.0
2.1,107.0,107.0,107.0,115.0
2.136,106.0,106.0,107.0,115.0
2.172,107.0,106.0,107.0,115.0
2.208,109.0,106.0,107.0,115.0
2.245,110.0,107.0,107.0,115.0
2.282,112.0,108.0,107.0,115.0
2.319,113.0,110.0,92.0,115.0
2.355,114.0,111.0,92.0,115.0
2.391,112.0,112.0,92.0,115.0
2.427,120.0,113.0,92.0,115.0
2.463,114.0,113.0,92.0,115.0
2.499,122.0,116.0,92.0,115.0
2.535,119.0,117.0,92.0,115.0
2.571,123.0,119.0,92.0,115.0
2.607,123.0,121.0,92.0,115.0
2.643,121.0,122.0,92.0,115.0
2.679,127.0,122.0,92.0,115.0
2.715,126.0,124.0,92.0,115.0
2.751,127.0,125.0,92.0,115.0
2.787,123.0,125.0,92.0,115.0
2.823,127.0,126.0,92.0,115.0
2.859,125.0,125.0,92.0,115.0
2.895,127.0,126.0,92.0,115.0
2.931,125.0,125.0,92.0,115.0
2.967,132.0,126.0,92.0,115.0
3.003,127.0,126.0,92.0,115.0
3.039,124.0,126.0,105.0,115.0
3.075,125.0,125.0,105.0,115.0
3.111,122.0,124.0,105.0,115.0
3.147,125.0,124.0,105.0,115.0
3.183,123.0,123.0,105.0,115.0
3.22,117.0,123.0,105.0,115.0
3.257,121.0,122.0,105.0,115.0
3.294,120.0,121.0,105.0,115.0
3.33,121.0,121.0,105.0,115.0
3.366,122.0,121.0,105.0,115.0
3.402,118.0,121.0,105.0,115.0
3.439,121.0,121.0,105.0,115.0
3.476,121.0,121.0,105.0,115.0
3.513,124.0,121.0,105.0,115.0
3.55,124.0,122.0,105.0,115.0
3.586,119.0,123.0,105.0,115.0
3.622,129.0,123.0,105.0,115.0
3.658,126.0,124.0,105.0,115.0
3.695,129.0,126.0,105.0,115.0
3.732,130.0,127.0,105.0,115.0
3.769,129.0,127.0,91.0,115.0
3.805,136.0,129.0,91.0,115.0
3.841,141.0,132.0,91.0,115.0
3.877,139.0,135.0,91.0,115.0
3.913,139.0,136.0,91.0,115.0
3.949,144.0,138.0,91.0,115.0
3.985,148.0,141.0,91.0,115.0
4.021,151.0,144.0,91.0,115.0
4.057,153.0,147.0,91.0,115.0
4.093,144.0,148.0,91.0,115.0
4.129,148.0,148.0,91.0,115.0
4.165,153.0,148.0,91.0,115.0
4.201,145.0,148.0,91.0,115.0
4.237,142.0,147.0,91.0,115.0
4.273,139.0,144.0,91.0,115.0
4.309,144.0,142.0,91.0,115.0
4.345,147.0,142.0,91.0,115.0
4.381,136.0,142.0,91.0,115.0
4.417,139.0,141.0,91.0,115.0
4.453,136.0,138.0,91.0,115.0
4.489,138.0,138.0,104.0,115.0
4.526,130.0,136.0,104.0,115.0
4.563,132.0,133.0,104.0,115.0
4.6,129.0,132.0,104.0,115.0
4.637,122.0,130.0,104.0,115.0
4.674,125.0,127.0,104.0,115.0
4.711,122.0,124.0,104.0,115.0
4.748,120.0,123.0,104.0,115.0
4.784,117.0,121.0,104.0,115.0
4.82,116.0,119.0,104.0,115.0
4.856,114.0,117.0,104.0,115.0
4.892,114.0,115.0,104.0,115.0
4.928,116.0,114.0,104.0,115.0
4.964,115.0,114.0,104.0,115.0
5.001,113.0,114.0,104.0,115.0
5.038,113.0,113.0,104.0,115.0
5.074,113.0,113.0,104.0,115.0
5.11,113.0,113.0,104.0,115.0
5.146,113.0,113.0,104.0,115.0
5.182,112.0,113.0,104.0,115.0
5.218,115.0,113.0,104.0,115.0
5.254,114.0,113.0,93.0,115.0
5.29,117.0,114.0,93.0,115.0
5.326,119.0,115.0,93.0,115.0
5.362,117.0,116.0,93.0,115.0
5.398,119.0,117.0,93.0,115.0
5.434,120.0,118.0,93.0,115.0
5.47,118.0,118.0,93.0,115.0
5.506,117.0,118.0,93.0,115.0
5.542,120.0,118.0,93.0,115.0
5.578,118.0,118.0,93.0,115.0
5.614,119.0,118.0,93.0,115.0
5.65,121.0,118.0,93.0,115.0
5.686,120.0,119.0,93.0,115.0
5.722,121.0,120.0,93.0,115.0
5.758,120.0,120.0,93.0,115.0
5.794,122.0,120.0,93.0,115.0
5.83,120.0,120.0,107.0,115.0
5.866,117.0,120.0,107.0,115.0
5.903,120.0,120.0,107.0,115.0
5.939,116.0,118.0,107.0,115.0
5.975,121.0,119.0,107.0,115.0
6.011,115.0,117.0,107.0,115.0
6.047,120.0,118.0,107.0,115.0
6.083,116.0,117.0,107.0,115.0
6.119,119.0,118.0,107.0,115.0
6.155,117.0,117.0,107.0,115.0
6.191,122.0,118.0,107.0,115.0
6.228,121.0,119.0,107.0,115.0
6.265,122.0,120.0,107.0,115.0
6.302,118.0,120.0,107.0,115.0
6.339,124.0,121.0,107.0,115.0
6.376,126.0,122.0,107.0,115.0
6.412,129.0,124.0,107.0,115.0
6.449,130.0,126.0,107.0,115.0
6.486,129.0,127.0,107.0,115.0
6.523,133.0,129.0,93.0,115.0
6.559,138.0,130.0,93.0,115.0
6.595,142.0,133.0,93.0,115.0
6.631,139.0,136.0,93.0,115.0
6.667,145.0,139.0,93.0,115.0
6.703,147.0,142.0,93.0,115.0
6.739,145.0,144.0,93.0,115.0
6.775,150.0,145.0,93.0,115.0
6.811,147.0,145.0,93.0,115.0
6.847,154.0,147.0,93.0,115.0
6.883,153.0,150.0,93.0,115.0
6.919,150.0,151.0,93.0,115.0
6.955,147.0,150.0,93.0,115.0
6.991,151.0,150.0,93.0,115.0
7.027,153.0,150.0,93.0,115.0
7.063,154.0,151.0,93.0,115.0
7.099,148.0,151.0,93.0,115.0
7.135,144.0,150.0,93.0,115.0
7.171,148.0,148.0,93.0,115.0
7.207,147.0,147.0,93.0,115.0
7.243,138.0,147.0,104.0,115.0
7.28,138.0,142.0,104.0,115.0
7.316,135.0,139.0,104.0,115.0
7.353,136.0,138.0,104.0,115.0
7.39,133.0,136.0,104.0,115.0
7.427,129.0,135.0,104.0,115.0
7.463,129.0,132.0,104.0,115.0
7.5,129.0,130.0,104.0,115.0
7.537,126.0,129.0,104.0,115.0
7.574,125.0,127.0,104.0,115.0
7.61,122.0,126.0,104.0,115.0
7.646,123.0,124.0,104.0,115.0
7.682,123.0,123.0,104.0,115.0
7.718,122.0,123.0,104.0,115.0
7.754,123.0,123.0,104.0,115.0
7.79,120.0,122.0,94.0,115.0
7.826,124.0,122.0,94.0,115.0
7.862,123.0,122.0,94.0,115.0
7.898,124.0,123.0,94.0,115.0
7.934,120.0,123.0,94.0,115.0
7.97,123.0,123.0,94.0,115.0
8.006,122.0,122.0,94.0,115.0
8.042,123.0,122.0,94.0,115.0
8.078,121.0,122.0,94.0,115.0
8.114,123.0,122.0,94.0,115.0
8.15,121.0,121.0,94.0,115.0
8.186,122.0,121.0,94.0,115.0
8.222,123.0,121.0,94.0,115.0
8.258,124.0,122.0,94.0,115.0
8.294,121.0,122.0,94.0,115.0
8.33,122.0,122.0,94.0,115.0
8.366,119.0,121.0,94.0,115.0
8.402,120.0,120.0,94.0,115.0
8.438,120.0,120.0,94.0,115.0
8.474,115.0,120.0,94.0,115.0
8.51,118.0,119.0,107.0,115.0
8.547,116.0,117.0,107.0,115.0
8.584,115.0,116.0,107.0,115.0
8.62,114.0,115.0,107.0,115.0
8.656,110.0,114.0,107.0,115.0
8.692,112.0,113.0,107.0,115.0
8.728,111.0,112.0,107.0,115.0
8.764,112.0,112.0,107.0,115.0
8.8,111.0,111.0,107.0,115.0
8.836,112.0,111.0,107.0,115.0
8.872,111.0,111.0,107.0,115.0
8.908,111.0,111.0,107.0,115.0
8.944,113.0,111.0,107.0,115.0
8.98,109.0,111.0,107.0,115.0
9.016,113.0,112.0,107.0,115.0
9.052,113.0,113.0,107.0,115.0
9.088,116.0,113.0,92.0,115.0
9.124,120.0,114.0,92.0,115.0
9.16,118.0,116.0,92.0,115.0
9.196,121.0,118.0,92.0,115.0
9.232,125.0,119.0,92.0,115.0
9.268,124.0,121.0,92.0,115.0
9.304,133.0,123.0,92.0,115.0
9.34,123.0,123.0,92.0,115.0
9.376,130.0,126.0,92.0,115.0
9.412,127.0,126.0,92.0,115.0
9.448,135.0,127.0,92.0,115.0
9.484,133.0,130.0,92.0,115.0
9.52,130.0,132.0,92.0,115.0
9.556,133.0,132.0,92.0,115.0
9.592,133.0,132.0,92.0,115.0
9.628,130.0,132.0,105.0,115.0
9.665,130.0,130.0,105.0,115.0
9.702,132.0,130.0,105.0,115.0
9.739,133.0,130.0,105.0,115.0
9.776,126.0,130.0,105.0,115.0
9.813,133.0,132.0,105.0,115.0
9.849,138.0,132.0,105.0,115.0
9.886,126.0,132.0,105.0,115.0
9.923,135.0,133.0,105.0,115.0
9.96,130.0,132.0,105.0,115.0
9.997,133.0,132.0,105.0,115.0
10.034,132.0,132.0,105.0,115.0
10.071,139.0,132.0,105.0,115.0
10.108,130.0,132.0,105.0,115.0
10.145,136.0,133.0,105.0,115.0
10.181,135.0,133.0,105.0,115.0
10.218,141.0,135.0,105.0,115.0
10.255,139.0,136.0,95.0,115.0
10.291,139.0,138.0,95.0,115.0
10.327,138.0,138.0,95.0,115.0
10.363,144.0,138.0,95.0,115.0
10.399,151.0,141.0,95.0,115.0
10.435,148.0,144.0,95.0,115.0
10.471,147.0,145.0,95.0,115.0
10.507,150.0,147.0,95.0,115.0
10.543,147.0,147.0,95.0,115.0
10.579,150.0,148.0,95.0,115.0
10.615,148.0,148.0,95.0,115.0
10.651,145.0,148.0,95.0,115.0
10.687,145.0,147.0,95.0,115.0
10.723,147.0,145.0,95.0,115.0
10.759,141.0,145.0,95.0,115.0
10.795,144.0,144.0,95.0,115.0
10.831,150.0,144.0,95.0,115.0
10.867,139.0,144.0,95.0,115.0
10.903,138.0,141.0,95.0,115.0
