time,distance,filtered,control,setpoint
0.0,124.0,127.0,100.0,74.0
0.036,130.0,129.0,100.0,74.0
0.072,129.0,129.0,100.0,74.0
0.108,132.0,129.0,100.0,74.0
0.144,129.0,129.0,100.0,74.0
0.18,125.0,129.0,100.0,74.0
0.216,127.0,127.0,100.0,74.0
0.252,123.0,126.0,100.0,74.0
0.288,130.0,126.0,100.0,74.0
0.324,124.0,125.0,100.0,74.0
0.36,124.0,124.0,100.0,74.0
0.396,132.0,124.0,100.0,74.0
0.432,126.0,125.0,100.0,74.0
0.468,127.0,126.0,100.0,74.0
0.504,129.0,126.0,100.0,74.0
0.54,132.0,127.0,100.0,74.0
0.576,126.0,127.0,100.0,74.0
0.612,129.0,127.0,100.0,74.0
0.648,127.0,127.0,100.0,74.0
0.684,127.0,127.0,100.0,74.0
0.72,132.0,127.0,100.0,74.0
0.756,127.0,127.0,100.0,74.0
0.792,129.0,127.0,100.0,74.0
0.828,129.0,127.0,100.0,74.0
0.864,127.0,127.0,100.0,74.0
0.9,126.0,127.0,100.0,74.0
0.936,127.0,127.0,100.0,74.0
0.972,125.0,126.0,100.0,74.0
1.008,133.0,126.0,100.0,74.0
1.044,127.0,126.0,100.0,74.0
1.08,129.0,127.0,100.0,74.0
1.116,129.0,127.0,100.0,74.0
1.152,127.0,127.0,100.0,74.0
1.188,126.0,127.0,95.0,74.0
1.224,129.0,127.0,95.0,74.0
1.26,127.0,127.0,95.0,74.0
1.296,127.0,127.0,95.0,74.0
1.332,126.0,127.0,95.0,74.0
1.368,130.0,127.0,95.0,74.0
1.404,130.0,129.0,95.0,74.0
1.44,129.0,129.0,95.0,74.0
1.476,130.0,129.0,95.0,74.0
1.512,127.0,129.0,95.0,74.0
1.548,123.0,127.0,95.0,74.0
1.584,125.0,126.0,95.0,74.0
1.62,126.0,125.0,95.0,74.0
1.656,124.0,125.0,95.0,74.0
1.692,129.0,125.0,95.0,74.0
1.728,130.0,126.0,95.0,74.0
1.764,129.0,127.0,95.0,74.0
1.8,124.0,127.0,95.0,74.0
1.836,124.0,125.0,95.0,74.0
1.872,123.0,124.0,95.0,74.0
1.908,123.0,123.0,107.0,74.0
1.944,124.0,123.0,107.0,74.0
1.98,120.0,123.0,107.0,74.0
2.016,120.0,121.0,107.0,74.0
2.052,122.0,120.0,107.0,74.0
2.088,120.0,120.0,107.0,74.0
2.124,123.0,121.0,107.0,74.0
2.16,123.0,122.0,107.0,74.0
2.196,122.0,122.0,107.0,74.0
2.232,124.0,122.0,107.0,74.0
2.268,123.0,122.0,107.0,74.0
2.304,123.0,122.0,107.0,74.0
2.34,130.0,122.0,107.0,74.0
2.376,130.0,125.0,93.0,74.0
2.412,135.0,127.0,93.0,74.0
2.448,136.0,130.0,93.0,74.0
2.484,135.0,132.0,93.0,74.0
2.52,136.0,133.0,93.0,74.0
2.556,144.0,135.0,93.0,74.0
2.592,141.0,138.0,93.0,74.0
2.628,144.0,141.0,93.0,74.0
2.664,147.0,142.0,93.0,74.0
2.7,148.0,144.0,93.0,74.0
2.736,154.0,145.0,93.0,74.0
2.772,148.0,147.0,93.0,74.0
2.808,145.0,147.0,93.0,74.0
2.844,156.0,147.0,93.0,74.0
2.88,156.0,151.0,93.0,74.0
2.916,162.0,153.0,93.0,74.0
2.952,151.0,154.0,93.0,74.0
2.988,159.0,156.0,93.0,74.0
3.024,153.0,154.0,93.0,74.0
3.06,151.0,153.0,107.0,74.0
3.096,153.0,153.0,107.0,74.0
3.132,156.0,153.0,107.0,74.0
3.168,160.0,154.0,107.0,74.0
3.204,151.0,154.0,107.0,74.0
3.24,156.0,154.0,107.0,74.0
3.276,150.0,153.0,107.0,74.0
3.312,151.0,151.0,107.0,74.0
3.348,151.0,151.0,107.0,74.0
3.384,150.0,151.0,107.0,74.0
3.42,156.0,151.0,107.0,74.0
3.456,154.0,153.0,107.0,74.0
3.492,154.0,153.0,107.0,74.0
3.528,156.0,153.0,107.0,74.0
3.564,151.0,153.0,107.0,74.0
3.6,159.0,154.0,107.0,74.0
3.636,160.0,156.0,107.0,74.0
3.672,160.0,157.0,107.0,74.0
3.708,169.0,159.0,107.0,74.0
3.744,171.0,163.0,107.0,74.0
3.78,157.0,166.0,94.0,74.0
3.816,163.0,165.0,94.0,74.0
3.852,169.0,163.0,94.0,74.0
3.888,174.0,166.0,94.0,74.0
3.924,172.0,169.0,94.0,74.0
3.96,166.0,171.0,94.0,74.0
3.996,175.0,171.0,94.0,74.0
4.032,177.0,172.0,94.0,74.0
4.068,181.0,174.0,94.0,74.0
4.104,180.0,177.0,94.0,74.0
4.14,172.0,178.0,94.0,74.0
4.176,177.0,177.0,94.0,74.0
4.212,174.0,175.0,94.0,74.0
4.248,181.0,175.0,94.0,74.0
4.284,175.0,175.0,94.0,74.0
4.32,175.0,175.0,94.0,74.0
4.356,178.0,175.0,94.0,74.0
4.392,169.0,175.0,94.0,74.0
4.428,165.0,172.0,94.0,74.0
4.464,174.0,171.0,94.0,74.0
4.5,162.0,168.0,107.0,74.0
4.536,168.0,168.0,107.0,74.0
4.572,163.0,165.0,107.0,74.0
4.608,154.0,163.0,107.0,74.0
4.644,156.0,159.0,107.0,74.0
4.68,159.0,157.0,107.0,74.0
4.716,153.0,156.0,107.0,74.0
4.752,150.0,154.0,107.0,74.0
4.788,147.0,151.0,107.0,74.0
4.824,148.0,150.0,107.0,74.0
4.86,141.0,148.0,107.0,74.0
4.896,138.0,144.0,107.0,74.0
4.932,144.0,142.0,107.0,74.0
4.968,141.0,141.0,107.0,74.0
5.004,135.0,141.0,107.0,74.0
5.04,150.0,141.0,107.0,74.0
5.076,138.0,139.0,107.0,74.0
5.112,145.0,142.0,107.0,74.0
5.148,139.0,141.0,107.0,74.0
5.184,147.0,142.0,95.0,74.0
5.22,141.0,141.0,95.0,74.0
5.256,144.0,142.0,95.0,74.0
5.292,147.0,142.0,95.0,74.0
5.328,154.0,144.0,95.0,74.0
5.364,151.0,147.0,95.0,74.0
5.4,150.0,148.0,95.0,74.0
5.436,154.0,150.0,95.0,74.0
5.472,160.0,151.0,95.0,74.0
5.508,153.0,153.0,95.0,74.0
5.544,159.0,156.0,95.0,74.0
5.58,157.0,156.0,95.0,74.0
5.616,160.0,157.0,95.0,74.0
5.652,156.0,157.0,95.0,74.0
5.688,156.0,156.0,95.0,74.0
5.724,160.0,156.0,95.0,74.0
5.76,160.0,157.0,106.0,74.0
5.796,163.0,159.0,106.0,74.0
5.832,153.0,159.0,106.0,74.0
5.868,159.0,159.0,106.0,74.0
5.904,154.0,156.0,106.0,74.0
5.94,151.0,154.0,106.0,74.0
5.976,156.0,154.0,106.0,74.0
6.012,151.0,153.0,106.0,74.0
6.048,154.0,153.0,106.0,74.0
6.084,156.0,153.0,106.0,74.0
6.12,148.0,153.0,106.0,74.0
6.156,154.0,153.0,106.0,74.0
6.192,150.0,151.0,106.0,74.0
6.228,160.0,153.0,106.0,74.0
6.264,157.0,154.0,106.0,74.0
6.3,153.0,156.0,106.0,74.0
6.336,153.0,154.0,106.0,74.0
6.372,153.0,153.0,106.0,74.0
6.408,160.0,153.0,106.0,74.0
6.444,162.0,156.0,106.0,74.0
6.48,165.0,159.0,92.0,74.0
6.516,156.0,160.0,92.0,74.0
6.552,160.0,160.0,92.0,74.0
6.588,175.0,160.0,92.0,74.0
6.624,162.0,160.0,92.0,74.0
6.66,171.0,165.0,92.0,74.0
6.696,175.0,168.0,92.0,74.0
6.732,165.0,169.0,92.0,74.0
6.768,168.0,168.0,92.0,74.0
6.804,172.0,168.0,92.0,74.0
6.84,166.0,168.0,92.0,74.0
6.876,169.0,168.0,92.0,74.0
6.912,165.0,166.0,92.0,74.0
6.948,168.0,166.0,92.0,74.0
6.984,168.0,166.0,92.0,74.0
7.02,166.0,166.0,92.0,74.0
7.056,166.0,166.0,92.0,74.0
7.092,157.0,166.0,92.0,74.0
7.128,156.0,162.0,92.0,74.0
7.164,162.0,159.0,105.0,74.0
7.2,160.0,159.0,105.0,74.0
7.236,154.0,159.0,105.0,74.0
7.272,147.0,156.0,105.0,74.0
7.308,150.0,153.0,105.0,74.0
