time,distance,filtered,setpoint,error,control
0.0,240.0,240.0,221.0,0.0,100.0
0.034,241.0,241.0,221.0,0.0,100.0
0.068,240.0,240.0,221.0,0.0,100.0
0.102,240.0,240.0,221.0,0.0,100.0
0.136,240.0,240.0,221.0,0.0,100.0
0.17,240.0,240.0,221.0,0.0,100.0
0.204,240.0,240.0,221.0,0.0,100.0
0.238,240.0,240.0,221.0,0.0,100.0
0.272,240.0,240.0,221.0,0.0,100.0
0.306,240.0,240.0,221.0,0.0,100.0
0.34,240.0,240.0,221.0,0.0,100.0
0.374,240.0,240.0,221.0,0.0,100.0
0.408,240.0,240.0,221.0,0.0,100.0
0.442,240.0,240.0,221.0,0.0,100.0
0.476,240.0,240.0,221.0,0.0,100.0
0.51,241.0,241.0,221.0,0.0,100.0
0.544,241.0,241.0,221.0,0.0,100.0
0.578,240.0,240.0,221.0,0.0,100.0
0.612,240.0,240.0,221.0,0.0,100.0
0.646,240.0,240.0,221.0,0.0,100.0
0.68,241.0,241.0,221.0,0.0,100.0
0.714,241.0,241.0,221.0,0.0,100.0
0.748,240.0,240.0,221.0,0.0,100.0
0.782,240.0,240.0,221.0,0.0,100.0
0.816,240.0,240.0,221.0,0.0,100.0
0.85,240.0,240.0,221.0,0.0,100.0
0.884,240.0,240.0,221.0,0.0,100.0
0.918,241.0,241.0,221.0,0.0,100.0
0.952,241.0,241.0,221.0,0.0,100.0
0.986,240.0,240.0,221.0,0.0,100.0
1.02,240.0,240.0,221.0,0.0,100.0
1.054,241.0,240.0,221.0,0.0,100.0
1.088,241.0,241.0,221.0,0.0,100.0
1.122,241.0,241.0,221.0,0.0,100.0
1.156,240.0,240.0,221.0,0.0,100.0
1.19,240.0,240.0,221.0,0.0,100.0
1.224,240.0,240.0,221.0,0.0,100.0
1.258,240.0,240.0,221.0,0.0,100.0
1.292,240.0,240.0,221.0,0.0,100.0
1.326,240.0,240.0,221.0,0.0,100.0
1.36,241.0,240.0,221.0,0.0,100.0
1.394,241.0,241.0,221.0,0.0,100.0
1.428,241.0,241.0,221.0,0.0,100.0
1.462,241.0,241.0,221.0,0.0,100.0
1.496,241.0,241.0,221.0,0.0,100.0
1.53,241.0,241.0,221.0,0.0,100.0
1.564,241.0,241.0,221.0,0.0,100.0
1.598,241.0,241.0,221.0,0.0,100.0
1.632,241.0,241.0,221.0,0.0,100.0
1.666,240.0,240.0,221.0,0.0,100.0
1.7,240.0,240.0,221.0,0.0,100.0
1.734,240.0,240.0,221.0,0.0,100.0
1.768,240.0,240.0,221.0,0.0,100.0
1.802,240.0,240.0,221.0,0.0,100.0
1.836,240.0,240.0,221.0,0.0,100.0
1.87,240.0,240.0,221.0,0.0,100.0
1.904,240.0,240.0,221.0,0.0,100.0
1.938,240.0,240.0,221.0,0.0,100.0
1.972,240.0,240.0,221.0,0.0,100.0
2.006,240.0,240.0,221.0,0.0,100.0
2.04,240.0,240.0,221.0,0.0,100.0
2.074,240.0,240.0,221.0,0.0,100.0
2.108,240.0,240.0,221.0,0.0,100.0
2.142,240.0,240.0,221.0,0.0,100.0
2.176,240.0,240.0,221.0,0.0,100.0
2.21,240.0,240.0,221.0,0.0,100.0
2.244,240.0,240.0,221.0,0.0,100.0
2.278,240.0,240.0,221.0,0.0,100.0
2.312,240.0,240.0,221.0,0.0,100.0
2.346,240.0,240.0,221.0,0.0,100.0
2.38,240.0,240.0,221.0,0.0,100.0
2.414,241.0,240.0,221.0,0.0,100.0
2.448,240.0,240.0,221.0,0.0,100.0
2.482,240.0,240.0,221.0,0.0,100.0
2.516,240.0,240.0,221.0,0.0,100.0
2.55,240.0,240.0,221.0,0.0,100.0
2.584,240.0,240.0,221.0,0.0,100.0
2.618,240.0,240.0,221.0,0.0,100.0
2.652,240.0,240.0,221.0,0.0,100.0
2.686,240.0,240.0,221.0,0.0,100.0
2.72,240.0,240.0,221.0,0.0,100.0
2.754,240.0,240.0,221.0,0.0,100.0
2.788,240.0,240.0,221.0,0.0,100.0
2.822,240.0,240.0,221.0,0.0,100.0
2.856,240.0,240.0,221.0,0.0,100.0
2.89,241.0,241.0,221.0,0.0,100.0
2.924,240.0,240.0,221.0,0.0,100.0
2.958,240.0,240.0,221.0,0.0,100.0
2.992,240.0,240.0,221.0,0.0,100.0
3.026,240.0,240.0,221.0,0.0,100.0
3.06,240.0,240.0,221.0,0.0,100.0
3.094,240.0,240.0,221.0,0.0,100.0
3.128,241.0,240.0,221.0,0.0,100.0
3.162,241.0,241.0,221.0,0.0,100.0
3.196,241.0,241.0,221.0,0.0,100.0
3.23,240.0,240.0,221.0,0.0,100.0
3.264,240.0,240.0,221.0,0.0,100.0
3.298,240.0,240.0,221.0,0.0,100.0
3.332,240.0,240.0,221.0,0.0,100.0
3.366,241.0,241.0,221.0,0.0,100.0
3.4,241.0,241.0,221.0,0.0,100.0
3.434,241.0,241.0,221.0,0.0,100.0
3.468,241.0,241.0,221.0,0.0,100.0
3.502,241.0,241.0,221.0,0.0,100.0
3.536,241.0,241.0,221.0,0.0,100.0
3.57,240.0,240.0,221.0,0.0,100.0
3.604,240.0,240.0,221.0,0.0,100.0
3.638,241.0,240.0,221.0,0.0,100.0
3.672,241.0,241.0,221.0,0.0,100.0
3.706,240.0,240.0,221.0,0.0,100.0
3.74,240.0,240.0,221.0,0.0,100.0
3.774,240.0,240.0,221.0,0.0,100.0
3.808,240.0,240.0,221.0,0.0,100.0
3.842,240.0,240.0,221.0,0.0,100.0
3.876,240.0,240.0,221.0,0.0,100.0
3.91,240.0,240.0,221.0,0.0,100.0
3.944,240.0,240.0,221.0,0.0,100.0
3.978,241.0,241.0,221.0,0.0,94.0
4.012,241.0,241.0,221.0,0.0,88.0
4.046,240.0,240.0,221.0,0.0,82.0
4.08,240.0,240.0,221.0,0.0,76.0
4.114,241.0,241.0,221.0,0.0,70.0
4.148,241.0,241.0,221.0,0.0,64.0
4.182,241.0,241.0,221.0,0.0,58.0
4.216,241.0,241.0,221.0,0.0,52.0
4.25,241.0,241.0,221.0,0.0,50.0
4.284,241.0,241.0,221.0,0.0,50.0
4.318,238.0,239.0,221.0,0.0,50.0
4.352,238.0,238.0,221.0,0.0,50.0
4.386,238.0,238.0,221.0,0.0,50.0
4.42,230.0,232.0,221.0,0.0,50.0
4.454,225.0,227.0,221.0,0.0,50.0
4.488,225.0,226.0,221.0,0.0,50.0
4.522,214.0,217.0,221.0,0.0,50.0
4.556,207.0,210.0,221.0,0.0,50.0
4.59,207.0,208.0,221.0,0.0,50.0
4.624,193.0,197.0,221.0,0.0,50.0
4.658,193.0,194.0,221.0,0.0,50.0
4.692,173.0,179.0,221.0,0.0,50.0
4.726,173.0,175.0,221.0,0.0,50.0
4.76,150.0,158.0,221.0,0.0,50.0
