time,distance,filtered,setpoint,error,control,beam_angle
0.0,130.0,130.0,56.0,0.0,100.0,0.32
0.034,130.0,130.0,56.0,0.0,100.0,0.32
0.068,129.0,130.0,56.0,0.0,100.0,0.32
0.102,129.0,129.0,56.0,0.0,100.0,0.32
0.136,130.0,130.0,56.0,0.0,100.0,0.32
0.17,130.0,130.0,56.0,0.0,100.0,0.32
0.204,130.0,130.0,56.0,0.0,100.0,0.32
0.238,130.0,130.0,56.0,0.0,100.0,0.32
0.272,129.0,130.0,56.0,0.0,100.0,0.32
0.306,129.0,129.0,56.0,0.0,100.0,0.32
0.34,129.0,129.0,56.0,0.0,100.0,0.32
0.374,129.0,129.0,56.0,0.0,100.0,0.32
0.408,129.0,129.0,56.0,0.0,100.0,0.32
0.442,129.0,129.0,56.0,0.0,100.0,0.32
0.476,129.0,129.0,56.0,0.0,100.0,0.0
0.51,130.0,130.0,56.0,0.0,100.0,0.32
0.544,130.0,130.0,56.0,0.0,100.0,0.32
0.578,130.0,130.0,56.0,0.0,100.0,0.32
0.612,130.0,130.0,56.0,0.0,100.0,0.32
0.646,130.0,130.0,56.0,0.0,100.0,0.32
0.68,130.0,130.0,56.0,0.0,100.0,0.32
0.714,130.0,130.0,56.0,0.0,100.0,0.32
0.748,130.0,130.0,56.0,0.0,100.0,0.32
0.782,130.0,130.0,56.0,0.0,100.0,0.32
0.816,130.0,130.0,56.0,0.0,100.0,0.32
0.85,130.0,130.0,56.0,0.0,100.0,0.32
0.884,130.0,130.0,56.0,0.0,100.0,0.31
0.918,130.0,130.0,56.0,0.0,100.0,0.31
0.952,130.0,130.0,56.0,0.0,100.0,0.31
0.986,129.0,129.0,56.0,0.0,100.0,0.32
1.02,129.0,129.0,56.0,0.0,100.0,0.32
1.054,129.0,129.0,56.0,0.0,100.0,0.32
1.088,129.0,129.0,56.0,0.0,100.0,0.32
1.122,129.0,129.0,56.0,0.0,100.0,0.32
1.156,129.0,129.0,56.0,0.0,100.0,0.32
1.19,129.0,129.0,56.0,0.0,92.0,0.32
1.224,129.0,129.0,56.0,0.0,92.0,0.32
1.258,129.0,129.0,56.0,0.0,92.0,0.32
1.292,129.0,129.0,56.0,0.0,92.0,0.32
1.326,129.0,129.0,56.0,0.0,92.0,0.32
1.36,130.0,130.0,56.0,0.0,92.0,0.32
1.394,130.0,130.0,56.0,0.0,92.0,0.32
1.428,130.0,130.0,56.0,0.0,92.0,0.32
1.462,130.0,130.0,56.0,0.0,92.0,0.32
1.496,130.0,130.0,56.0,0.0,92.0,0.32
1.53,130.0,130.0,56.0,0.0,92.0,1.26
1.564,130.0,130.0,56.0,0.0,92.0,1.26
1.598,130.0,130.0,56.0,0.0,92.0,1.26
1.632,130.0,130.0,56.0,0.0,92.0,1.26
1.666,130.0,130.0,56.0,0.0,107.0,1.26
1.7,128.0,129.0,56.0,0.0,107.0,1.37
1.734,128.0,128.0,56.0,0.0,107.0,1.37
1.768,128.0,128.0,56.0,0.0,107.0,1.37
1.802,128.0,128.0,56.0,0.0,107.0,1.37
1.836,128.0,128.0,56.0,0.0,107.0,1.37
1.87,128.0,128.0,56.0,0.0,107.0,1.37
1.904,123.0,125.0,56.0,0.0,107.0,1.37
1.938,123.0,123.0,56.0,0.0,107.0,1.37
1.972,123.0,123.0,56.0,0.0,107.0,1.37
2.006,117.0,119.0,56.0,0.0,107.0,-0.94
2.04,117.0,118.0,56.0,0.0,107.0,-0.94
2.074,117.0,117.0,56.0,0.0,107.0,-1.04
2.109,117.0,117.0,56.0,0.0,107.0,-1.04
2.144,117.0,117.0,56.0,0.0,107.0,-1.04
2.179,117.0,117.0,56.0,0.0,107.0,-1.04
2.214,118.0,118.0,56.0,0.0,92.0,-1.04
2.248,118.0,118.0,56.0,0.0,92.0,-1.04
2.282,121.0,120.0,56.0,0.0,92.0,-0.95
2.316,121.0,121.0,56.0,0.0,92.0,-0.95
2.35,126.0,124.0,56.0,0.0,92.0,0.21
2.384,126.0,125.0,56.0,0.0,92.0,0.21
2.418,126.0,126.0,56.0,0.0,92.0,0.21
2.452,129.0,128.0,56.0,0.0,92.0,1.37
2.486,129.0,128.0,56.0,0.0,92.0,1.37
