time,distance,filtered,setpoint,error,control
0.0122,238.0,235.0,125.0,-110.0,70.0
0.0605,235.0,235.0,125.0,-110.0,70.0
0.0762,242.0,237.0,125.0,-112.0,70.0
0.0939,235.0,236.0,125.0,-111.0,69.0
0.1251,226.0,233.0,125.0,-108.0,70.0
0.172,226.0,231.0,125.0,-106.0,70.0
0.1864,226.0,229.0,125.0,-104.0,71.0
0.2165,222.0,227.0,125.0,-102.0,71.0
0.2475,222.0,226.0,125.0,-101.0,72.0
0.279,222.0,224.0,125.0,-99.0,72.0
0.3097,218.0,223.0,125.0,-98.0,73.0
0.3414,216.0,221.0,125.0,-96.0,73.0
0.358,207.0,217.0,125.0,-92.0,74.0
0.3879,207.0,214.0,125.0,-89.0,75.0
0.4195,204.0,211.0,125.0,-86.0,76.0
0.451,194.0,206.0,125.0,-81.0,77.0
0.4979,185.0,200.0,125.0,-75.0,78.0
0.5123,185.0,195.0,125.0,-70.0,79.0
0.5433,177.0,190.0,125.0,-65.0,81.0
0.5735,177.0,186.0,125.0,-61.0,82.0
0.6054,172.0,182.0,125.0,-57.0,83.0
0.6208,166.0,177.0,125.0,-52.0,84.0
0.6524,161.0,172.0,125.0,-47.0,86.0
0.6825,158.0,168.0,125.0,-43.0,87.0
0.7286,146.0,162.0,125.0,-37.0,88.0
0.7445,142.0,156.0,125.0,-31.0,90.0
0.7752,133.0,149.0,125.0,-24.0,92.0
0.8062,125.0,141.0,125.0,-16.0,93.0
0.8252,117.0,134.0,125.0,-9.0,95.0
0.8554,108.0,126.0,125.0,-1.0,98.0
0.8855,97.0,118.0,125.0,6.0,100.0
0.916,88.0,109.0,125.0,15.0,102.0
0.9461,81.0,100.0,125.0,24.0,104.0
0.9768,74.0,92.0,125.0,32.0,106.0
1.0081,66.0,84.0,125.0,40.0,109.0
1.0552,57.0,76.0,125.0,48.0,111.0
1.0577,46.0,67.0,125.0,57.0,113.0
1.0861,37.0,58.0,125.0,66.0,115.0
1.1169,27.0,49.0,125.0,75.0,118.0
1.1636,18.0,39.0,125.0,85.0,120.0
1.1789,8.0,30.0,125.0,94.0,123.0
1.2095,8.0,23.0,125.0,101.0,125.0
1.2414,2.0,17.0,125.0,107.0,127.0
1.2719,1.0,12.0,125.0,112.0,129.0
1.2899,1.0,9.0,125.0,115.0,130.0
1.3177,1.0,6.0,125.0,118.0,131.0
1.3331,1.0,5.0,125.0,119.0,131.0
1.3799,1.0,3.0,125.0,121.0,132.0
1.395,2.0,3.0,125.0,121.0,132.0
1.4258,2.0,3.0,125.0,121.0,132.0
1.4566,0,2.0,125.0,122.0,132.0
1.4886,0,1.0,125.0,123.0,133.0
1.5062,0,1.0,125.0,123.0,133.0
1.5369,2.0,1.0,125.0,123.0,133.0
1.5649,4.0,2.0,125.0,122.0,133.0
1.5964,7.0,3.0,125.0,121.0,132.0
1.6278,9.0,5.0,125.0,119.0,132.0
1.6585,10.0,7.0,125.0,117.0,132.0
1.7044,12.0,8.0,125.0,116.0,131.0
1.7201,12.0,9.0,125.0,115.0,131.0
1.7383,20.0,12.0,125.0,112.0,130.0
1.7693,25.0,16.0,125.0,108.0,129.0
1.8127,32.0,21.0,125.0,103.0,128.0
1.8302,39.0,26.0,125.0,98.0,127.0
1.8615,46.0,32.0,125.0,92.0,126.0
1.8924,52.0,38.0,125.0,86.0,124.0
1.9238,60.0,45.0,125.0,79.0,122.0
1.942,66.0,51.0,125.0,73.0,121.0
1.9722,74.0,58.0,125.0,66.0,119.0
2.0016,79.0,64.0,125.0,60.0,117.0
2.0321,86.0,71.0,125.0,53.0,115.0
2.0623,93.0,77.0,125.0,47.0,114.0
2.0944,101.0,85.0,125.0,39.0,112.0
2.1402,110.0,92.0,125.0,32.0,110.0
2.1562,121.0,101.0,125.0,23.0,108.0
2.1738,127.0,109.0,125.0,15.0,106.0
2.2052,138.0,117.0,125.0,7.0,103.0
2.2486,145.0,126.0,125.0,-1.0,101.0
2.2641,155.0,135.0,125.0,-10.0,99.0
2.2947,161.0,143.0,125.0,-18.0,96.0
2.3253,168.0,150.0,125.0,-25.0,94.0
2.3563,173.0,157.0,125.0,-32.0,92.0
2.3887,180.0,164.0,125.0,-39.0,90.0
2.4063,186.0,171.0,125.0,-46.0,89.0
2.4383,196.0,178.0,125.0,-53.0,87.0
2.4663,198.0,184.0,125.0,-59.0,85.0
2.4971,202.0,189.0,125.0,-64.0,83.0
2.527,209.0,195.0,125.0,-70.0,82.0
2.5734,222.0,203.0,125.0,-78.0,80.0
2.5894,224.0,209.0,125.0,-84.0,78.0
2.6205,224.0,214.0,125.0,-89.0,77.0
2.6518,226.0,217.0,125.0,-92.0,75.0
2.6987,226.0,220.0,125.0,-95.0,75.0
2.7012,235.0,224.0,125.0,-99.0,73.0
2.7304,235.0,227.0,125.0,-102.0,72.0
2.7615,235.0,230.0,125.0,-105.0,72.0
2.8077,244.0,234.0,125.0,-109.0,71.0
2.8238,235.0,234.0,125.0,-109.0,70.0
2.8551,237.0,235.0,125.0,-110.0,70.0
2.8861,235.0,235.0,125.0,-110.0,70.0
2.9031,229.0,233.0,125.0,-108.0,70.0
2.9324,222.0,230.0,125.0,-105.0,71.0
2.9623,224.0,228.0,125.0,-103.0,71.0
2.9935,218.0,225.0,125.0,-100.0,72.0
3.0238,216.0,222.0,125.0,-97.0,72.0
3.0553,215.0,220.0,125.0,-95.0,73.0
3.0863,213.0,218.0,125.0,-93.0,74.0
3.1328,213.0,216.0,125.0,-91.0,74.0
